<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/def/common/unit>,<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/def/grib2/parameter>,<http://metarelate.net/vocabulary/index.html#identifier>,@id,@notation,@status,dct:description,dct:references,rdf:type,rdfs:label,skos:prefLabel
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/degree_true>,<http://codes.wmo.int/grib2/codeflag/4.1/10-2>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,2,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/10-2-2>,10-2-2,stable,'Direction of ice drift'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Direction of ice drift'@en,'Direction of ice drift'@en
<http://codes.wmo.int/codeform/grib2>,"",<http://codes.wmo.int/grib2/codeflag/4.1/10-2>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,255,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/10-2-255>,10-2-255,stable,'Missing'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Missing'@en,'Missing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/10-2>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,3,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/10-2-3>,10-2-3,stable,'Speed of ice drift'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Speed of ice drift'@en,'Speed of ice drift'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/10-2>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,4,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/10-2-4>,10-2-4,stable,'u-component of ice drift'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'u-component of ice drift'@en,'u-component of ice drift'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/10-2>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,5,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/10-2-5>,10-2-5,stable,'v-component of ice drift'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'v-component of ice drift'@en,'v-component of ice drift'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/10-2>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,6,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/10-2-6>,10-2-6,stable,'Ice growth rate'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Ice growth rate'@en,'Ice growth rate'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/10-2>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,7,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/10-2-7>,10-2-7,stable,'Ice divergence'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Ice divergence'@en,'Ice divergence'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/10-2>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,8,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/10-2-8>,10-2-8,stable,'Ice temperature'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Ice temperature'@en,'Ice temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/Pa_m>,<http://codes.wmo.int/grib2/codeflag/4.1/10-2>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,9,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/10-2-9>,10-2-9,stable,'Ice internal pressure'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Ice internal pressure'@en,'Ice internal pressure'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/10-3>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,0,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/10-3-0>,10-3-0,stable,'Water temperature'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Water temperature'@en,'Water temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/10-3>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,1,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/10-3-1>,10-3-1,stable,'Deviation of sea level from mean'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Deviation of sea level from mean'@en,'Deviation of sea level from mean'@en
<http://codes.wmo.int/codeform/grib2>,"",<http://codes.wmo.int/grib2/codeflag/4.1/10-3>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,255,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/10-3-255>,10-3-255,stable,'Missing'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Missing'@en,'Missing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,0,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-0>,10-4-0,stable,'Main thermocline depth'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Main thermocline depth'@en,'Main thermocline depth'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,1,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-1>,10-4-1,stable,'Main thermocline anomaly'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Main thermocline anomaly'@en,'Main thermocline anomaly'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/N_unit>,<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,11,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-11>,10-4-11,stable,'Shape factor with respect to salinity profile'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Shape factor with respect to salinity profile'@en,'Shape factor with respect to salinity profile'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/N_unit>,<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,12,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-12>,10-4-12,stable,'Shape factor with respect to temperature profile in thermocline'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Shape factor with respect to temperature profile in thermocline'@en,'Shape factor with respect to temperature profile in thermocline'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/_m-1>,<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,13,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-13>,10-4-13,stable,'Attenuation coefficient of water with respect to solar radiation'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Attenuation coefficient of water with respect to solar radiation'@en,'Attenuation coefficient of water with respect to solar radiation'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,14,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-14>,10-4-14,stable,'Water depth'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Water depth'@en,'Water depth'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,15,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-15>,10-4-15,stable,'Water temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Water temperature'@en,'Water temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,2,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-2>,10-4-2,stable,'Transient thermocline depth'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Transient thermocline depth'@en,'Transient thermocline depth'@en
<http://codes.wmo.int/codeform/grib2>,"",<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,255,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-255>,10-4-255,stable,'Missing'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Missing'@en,'Missing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,3,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-3>,10-4-3,stable,'Salinity'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Salinity'@en,'Salinity'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m2/s>,<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,4,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-4>,10-4-4,stable,'Ocean vertical heat diffusivity'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Ocean vertical heat diffusivity'@en,'Ocean vertical heat diffusivity'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m2/s>,<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,5,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-5>,10-4-5,stable,'Ocean vertical salt diffusivity'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Ocean vertical salt diffusivity'@en,'Ocean vertical salt diffusivity'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m2/s>,<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,6,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-6>,10-4-6,stable,'Ocean vertical momentum diffusivity'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Ocean vertical momentum diffusivity'@en,'Ocean vertical momentum diffusivity'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/10-4>,<http://codes.wmo.int/grib2/codeflag/0.0/10>,7,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/10-4-7>,10-4-7,stable,'Bathymetry'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Bathymetry'@en,'Bathymetry'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/1>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,0,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-0>,2-0-0,stable,"'Land cover (0 = sea, 1 = land)'@en","",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,"'Land cover (0 = sea, 1 = land)'@en","'Land cover (0 = sea, 1 = land)'@en"
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,1,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-1>,2-0-1,stable,'Surface roughness'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Surface roughness'@en,'Surface roughness'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/W_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,10,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-10>,2-0-10,stable,'Ground heat flux'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Ground heat flux'@en,'Ground heat flux'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/percent>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,11,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-11>,2-0-11,stable,'Moisture availability'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Moisture availability'@en,'Moisture availability'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,12,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-12>,2-0-12,stable,'Exchange coefficient'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Exchange coefficient'@en,'Exchange coefficient'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,13,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-13>,2-0-13,stable,'Plant canopy surface water'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Plant canopy surface water'@en,'Plant canopy surface water'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,14,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-14>,2-0-14,stable,'Blackadar’s mixing length scale'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Blackadar’s mixing length scale'@en,'Blackadar’s mixing length scale'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,15,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-15>,2-0-15,stable,'Canopy conductance'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Canopy conductance'@en,'Canopy conductance'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/s_m-1>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,16,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-16>,2-0-16,stable,'Minimal stomatal resistance'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Minimal stomatal resistance'@en,'Minimal stomatal resistance'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/1>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,17,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-17>,2-0-17,stable,'Wilting point'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Wilting point'@en,'Wilting point'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/1>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,18,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-18>,2-0-18,stable,'Solar parameter in canopy conductance'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Solar parameter in canopy conductance'@en,'Solar parameter in canopy conductance'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/1>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,19,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-19>,2-0-19,stable,'Temperature parameter in canopy'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Temperature parameter in canopy'@en,'Temperature parameter in canopy'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,2,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-2>,2-0-2,stable,'Soil temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Soil temperature'@en,'Soil temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/1>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,20,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-20>,2-0-20,stable,'Humidity parameter in canopy conductance'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Humidity parameter in canopy conductance'@en,'Humidity parameter in canopy conductance'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/1>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,21,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-21>,2-0-21,stable,'Soil moisture parameter in canopy conductance'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Soil moisture parameter in canopy conductance'@en,'Soil moisture parameter in canopy conductance'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-3>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,22,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-22>,2-0-22,stable,'Soil moisture'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Soil moisture'@en,'Soil moisture'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,23,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-23>,2-0-23,stable,'Column-integrated soil water'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Column-integrated soil water'@en,'Column-integrated soil water'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/W_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,24,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-24>,2-0-24,stable,'Heat flux'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Heat flux'@en,'Heat flux'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m3_m-3>,<http://codes.wmo.int/grib2/codeflag/4.1/2-0>,<http://codes.wmo.int/grib2/codeflag/0.0/2>,25,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/2-0-25>,2-0-25,stable,'Volumetric soil moisture'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Volumetric soil moisture'@en,'Volumetric soil moisture'@en
